instance optimal_length iteration path_length move_estimates
prb20800 10 131 77 [10,10,10,10,10,10,10,10,10,10,10,10,10,10,10]
prb20800 10 132 31 [10,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 133 37 [9,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 134 42 [9,9,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 135 34 [9,9,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 136 59 [9,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 137 67 [9,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 138 54 [9,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 139 59 [10,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 140 20 [10,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 141 33 [10,10,10,10,10,10,10,10,10,10,10,10,10,11,11]
prb20800 10 142 20 [9,10,10,10,10,10,10,10,10,10,10,10,10,11,11]
prb20800 10 143 61 [9,10,10,10,10,10,10,10,10,10,10,10,10,11,11]
prb20800 10 144 53 [9,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 145 55 [9,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 146 26 [9,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 147 28 [10,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 148 26 [10,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
prb20800 10 149 22 [10,10,10,10,10,10,10,10,10,10,10,10,10,10,11]
