Rec(t='1493058450.71', event='start', piece='None', move_nu='0', move='None', instance='Jam-9'),13,59530,590517,114171,611
Rec(t='1493058460.5', event='commit_move', piece='r', move_nu='0', move='(1, 2, 2)', instance='Jam-9'),12,53055,526754,102773,615
Rec(t='1493058468.49', event='commit_move', piece='o', move_nu='1', move='(0, 0, 3)', instance='Jam-9'),11,46886,465629,90822,613
Rec(t='1493058471.96', event='commit_move', piece='w', move_nu='2', move='(0, 3, 3)', instance='Jam-9'),10,40429,402237,79295,616
Rec(t='1493058476.36', event='commit_move', piece='B', move_nu='3', move='(3, 4, 2)', instance='Jam-9'),9,37882,368439,73693,595
Rec(t='1493058479.7', event='commit_move', piece='y', move_nu='4', move='(4, 3, 3)', instance='Jam-9'),8,10063,93496,22381,469
Rec(t='1493058485.05', event='commit_move', piece='g', move_nu='5', move='(2, 1, 2)', instance='Jam-9'),7,4574,40954,11851,354
Rec(t='1493058489.5', event='commit_move', piece='l', move_nu='6', move='(5, 1, 2)', instance='Jam-9'),7,5111,45513,12233,375
Rec(t='1493058506.23', event='commit_move', piece='y', move_nu='7', move='(4, 1, 3)', instance='Jam-9'),8,14229,131516,27698,469
Rec(t='1493058514.3', event='commit_move', piece='r', move_nu='8', move='(2, 2, 2)', instance='Jam-9'),7,5924,54485,19894,370
Rec(t='1493058522.6', event='commit_move', piece='y', move_nu='9', move='(4, 3, 3)', instance='Jam-9'),6,1917,17214,6851,258
Rec(t='1493058528.67', event='commit_move', piece='l', move_nu='10', move='(5, 2, 2)', instance='Jam-9'),6,1750,15830,6188,246
Rec(t='1493058543.6', event='commit_move', piece='g', move_nu='11', move='(4, 1, 2)', instance='Jam-9'),7,4781,44251,11867,360
Rec(t='1493058549.41', event='commit_move', piece='r', move_nu='12', move='(3, 2, 2)', instance='Jam-9'),7,4264,40297,13154,322
Rec(t='1493058556.9', event='commit_move', piece='b', move_nu='13', move='(1, 1, 2)', instance='Jam-9'),6,1405,13013,5041,212
Rec(t='1493058561.17', event='commit_move', piece='c', move_nu='14', move='(1, 0, 2)', instance='Jam-9'),5,308,2683,1329,97
