Rec(t='1489784304.7', event='win', piece='r', move_nu='26', move='(4, 2, 2)', instance='Jam-17') 2
Rec(t='1489783175.46', event='start', piece='None', move_nu='0', move='None', instance='Jam-10') 20
Rec(t='1489783191.08', event='commit_move', piece='r', move_nu='0', move='(3, 2, 2)', instance='Jam-10') 19
Rec(t='1489783192.3', event='commit_move', piece='c', move_nu='1', move='(2, 1, 2)', instance='Jam-10') 19
Rec(t='1489783206.79', event='commit_move', piece='M', move_nu='2', move='(3, 0, 2)', instance='Jam-10') 18
Rec(t='1489783208.05', event='commit_move', piece='y', move_nu='3', move='(5, 0, 3)', instance='Jam-10') 17
Rec(t='1489783209.76', event='commit_move', piece='w', move_nu='4', move='(3, 3, 3)', instance='Jam-10') 16
Rec(t='1489783213.23', event='commit_move', piece='c', move_nu='5', move='(2, 4, 2)', instance='Jam-10') 15
Rec(t='1489783217.51', event='commit_move', piece='B', move_nu='6', move='(3, 1, 2)', instance='Jam-10') 14
Rec(t='1489783219.08', event='commit_move', piece='b', move_nu='7', move='(1, 0, 2)', instance='Jam-10') 13
Rec(t='1489783221.63', event='commit_move', piece='o', move_nu='8', move='(0, 0, 3)', instance='Jam-10') 12
Rec(t='1489783247.21', event='commit_move', piece='c', move_nu='9', move='(2, 1, 2)', instance='Jam-10') 13
Rec(t='1489783251.76', event='commit_move', piece='w', move_nu='10', move='(0, 3, 3)', instance='Jam-10') 14
Rec(t='1489783287.24', event='commit_move', piece='w', move_nu='11', move='(3, 3, 3)', instance='Jam-10') 13
Rec(t='1489783289.03', event='commit_move', piece='c', move_nu='12', move='(2, 4, 2)', instance='Jam-10') 12
Rec(t='1489783291.3', event='commit_move', piece='w', move_nu='13', move='(0, 3, 3)', instance='Jam-10') 11
Rec(t='1489783293.56', event='commit_move', piece='r', move_nu='14', move='(1, 2, 2)', instance='Jam-10') 10
Rec(t='1489783295.13', event='commit_move', piece='B', move_nu='15', move='(1, 1, 2)', instance='Jam-10') 9
Rec(t='1489783297.15', event='commit_move', piece='g', move_nu='16', move='(3, 1, 2)', instance='Jam-10') 8
Rec(t='1489783299.15', event='commit_move', piece='l', move_nu='17', move='(3, 4, 2)', instance='Jam-10') 7
Rec(t='1489783300.45', event='commit_move', piece='p', move_nu='18', move='(3, 5, 2)', instance='Jam-10') 6
Rec(t='1489783302.43', event='commit_move', piece='y', move_nu='19', move='(5, 3, 3)', instance='Jam-10') 4
Rec(t='1489783305.14', event='commit_move', piece='M', move_nu='20', move='(4, 0, 2)', instance='Jam-10') 3
Rec(t='1489783306.55', event='commit_move', piece='g', move_nu='21', move='(3, 0, 2)', instance='Jam-10') 2
Rec(t='1489783307.89', event='win', piece='r', move_nu='22', move='(4, 2, 2)', instance='Jam-10') 2
Rec(t='1489783639.65', event='start', piece='None', move_nu='0', move='None', instance='Jam-13') 24
Rec(t='1489783659.76', event='commit_move', piece='g', move_nu='0', move='(1, 3, 2)', instance='Jam-13') 22
Rec(t='1489783661.36', event='commit_move', piece='B', move_nu='1', move='(2, 3, 2)', instance='Jam-13') 21
Rec(t='1489783662.98', event='commit_move', piece='r', move_nu='2', move='(1, 2, 2)', instance='Jam-13') 20
Rec(t='1489783665.07', event='commit_move', piece='M', move_nu='3', move='(4, 1, 2)', instance='Jam-13') 18
Rec(t='1489783666.78', event='commit_move', piece='c', move_nu='4', move='(4, 0, 2)', instance='Jam-13') 21
Rec(t='1489783667.95', event='commit_move', piece='b', move_nu='5', move='(1, 0, 2)', instance='Jam-13') 23
Rec(t='1489783669.6', event='commit_move', piece='o', move_nu='6', move='(0, 0, 3)', instance='Jam-13') 22
Rec(t='1489783684.64', event='commit_move', piece='b', move_nu='7', move='(2, 0, 2)', instance='Jam-13') 25
Rec(t='1489783686.19', event='commit_move', piece='r', move_nu='8', move='(2, 2, 2)', instance='Jam-13') 24
Rec(t='1489783688.66', event='commit_move', piece='g', move_nu='9', move='(1, 0, 2)', instance='Jam-13') 25
Rec(t='1489783693.0', event='commit_move', piece='p', move_nu='10', move='(0, 5, 2)', instance='Jam-13') 26
Rec(t='1489783694.36', event='commit_move', piece='B', move_nu='11', move='(2, 4, 2)', instance='Jam-13') 27
Rec(t='1489783695.98', event='commit_move', piece='l', move_nu='12', move='(0, 3, 2)', instance='Jam-13') 29
Rec(t='1489783742.15', event='commit_move', piece='g', move_nu='13', move='(1, 1, 2)', instance='Jam-13') 28
Rec(t='1489783743.29', event='commit_move', piece='l', move_nu='14', move='(1, 3, 2)', instance='Jam-13') 26
Rec(t='1489783744.52', event='commit_move', piece='o', move_nu='15', move='(0, 1, 3)', instance='Jam-13') 25
Rec(t='1489783746.62', event='commit_move', piece='b', move_nu='16', move='(0, 0, 2)', instance='Jam-13') 24
Rec(t='1489783749.64', event='commit_move', piece='c', move_nu='17', move='(2, 0, 2)', instance='Jam-13') 24
Rec(t='1489783787.4', event='start', piece='None', move_nu='0', move='None', instance='Jam-13') 23
Rec(t='1489783808.6', event='commit_move', piece='y', move_nu='0', move='(5, 0, 3)', instance='Jam-13') 22
