Rec(t='1490037330.94', event='commit_move', piece='y', move_nu='4', move='(4, 3, 3)', instance='Jam-9') 8
Rec(t='1490037341.03', event='commit_move', piece='r', move_nu='5', move='(3, 2, 2)', instance='Jam-9') 7
Rec(t='1490037342.26', event='commit_move', piece='b', move_nu='6', move='(1, 1, 2)', instance='Jam-9') 6
Rec(t='1490037343.46', event='commit_move', piece='c', move_nu='7', move='(1, 0, 2)', instance='Jam-9') 5
Rec(t='1490037344.13', event='commit_move', piece='M', move_nu='8', move='(3, 0, 2)', instance='Jam-9') 4
Rec(t='1490037345.13', event='commit_move', piece='g', move_nu='9', move='(3, 1, 2)', instance='Jam-9') 3
Rec(t='1490037346.13', event='commit_move', piece='l', move_nu='10', move='(5, 0, 2)', instance='Jam-9') 2
Rec(t='1490037346.48', event='win', piece='r', move_nu='11', move='(4, 2, 2)', instance='Jam-9') 2
Rec(t='1490038395.85', event='start', piece='None', move_nu='0', move='None', instance='Jam-17') 28
Rec(t='1490038419.24', event='commit_move', piece='o', move_nu='0', move='(3, 2, 3)', instance='Jam-17') 28
Rec(t='1490038422.4', event='commit_move', piece='l', move_nu='1', move='(4, 3, 2)', instance='Jam-17') 28
Rec(t='1490038423.23', event='commit_move', piece='m', move_nu='2', move='(5, 3, 2)', instance='Jam-17') 28
Rec(t='1490038427.38', event='commit_move', piece='p', move_nu='3', move='(3, 5, 3)', instance='Jam-17') 27
Rec(t='1490038429.2', event='commit_move', piece='c', move_nu='4', move='(1, 1, 2)', instance='Jam-17') 26
Rec(t='1490038442.84', event='commit_move', piece='o', move_nu='5', move='(3, 1, 3)', instance='Jam-17') 25
Rec(t='1490038443.37', event='commit_move', piece='l', move_nu='6', move='(4, 2, 2)', instance='Jam-17') 24
Rec(t='1490038444.02', event='commit_move', piece='m', move_nu='7', move='(5, 2, 2)', instance='Jam-17') 23
Rec(t='1490038445.01', event='commit_move', piece='w', move_nu='8', move='(3, 4, 3)', instance='Jam-17') 22
Rec(t='1490038446.16', event='commit_move', piece='B', move_nu='9', move='(2, 4, 2)', instance='Jam-17') 21
Rec(t='1490038448.01', event='commit_move', piece='g', move_nu='10', move='(1, 3, 2)', instance='Jam-17') 20
Rec(t='1490038448.59', event='commit_move', piece='r', move_nu='11', move='(1, 2, 2)', instance='Jam-17') 19
Rec(t='1490038450.31', event='commit_move', piece='b', move_nu='12', move='(0, 4, 2)', instance='Jam-17') 18
Rec(t='1490038490.5', event='commit_move', piece='y', move_nu='13', move='(3, 0, 3)', instance='Jam-17') 19
Rec(t='1490038491.25', event='commit_move', piece='c', move_nu='14', move='(0, 1, 2)', instance='Jam-17') 17
Rec(t='1490038491.9', event='commit_move', piece='r', move_nu='15', move='(0, 2, 2)', instance='Jam-17') 16
Rec(t='1490038492.45', event='commit_move', piece='g', move_nu='16', move='(0, 3, 2)', instance='Jam-17') 14
Rec(t='1490038494.62', event='commit_move', piece='B', move_nu='17', move='(2, 0, 2)', instance='Jam-17') 11
Rec(t='1490038499.4', event='commit_move', piece='w', move_nu='18', move='(1, 4, 3)', instance='Jam-17') 10
Rec(t='1490038501.22', event='commit_move', piece='p', move_nu='19', move='(1, 5, 3)', instance='Jam-17') 10
Rec(t='1490038510.89', event='commit_move', piece='l', move_nu='20', move='(4, 4, 2)', instance='Jam-17') 9
Rec(t='1490038511.94', event='commit_move', piece='m', move_nu='21', move='(5, 4, 2)', instance='Jam-17') 8
Rec(t='1490038512.87', event='commit_move', piece='B', move_nu='22', move='(2, 2, 2)', instance='Jam-17') 9
Rec(t='1490038514.04', event='commit_move', piece='y', move_nu='23', move='(0, 0, 3)', instance='Jam-17') 10
Rec(t='1490038514.71', event='commit_move', piece='o', move_nu='24', move='(3, 0, 3)', instance='Jam-17') 11
Rec(t='1490038515.54', event='commit_move', piece='B', move_nu='25', move='(2, 1, 2)', instance='Jam-17') 11
Rec(t='1490038518.26', event='commit_move', piece='g', move_nu='26', move='(4, 3, 2)', instance='Jam-17') 12
Rec(t='1490038526.12', event='commit_move', piece='o', move_nu='27', move='(3, 1, 3)', instance='Jam-17') 9
Rec(t='1490038527.55', event='commit_move', piece='y', move_nu='28', move='(3, 0, 3)', instance='Jam-17') 8
Rec(t='1490038528.23', event='commit_move', piece='B', move_nu='29', move='(2, 0, 2)', instance='Jam-17') 7
Rec(t='1490038531.95', event='commit_move', piece='r', move_nu='30', move='(1, 2, 2)', instance='Jam-17') 6
Rec(t='1490038532.75', event='commit_move', piece='b', move_nu='31', move='(0, 2, 2)', instance='Jam-17') 5
Rec(t='1490038534.13', event='commit_move', piece='w', move_nu='32', move='(0, 4, 3)', instance='Jam-17') 4
Rec(t='1490038535.2', event='commit_move', piece='p', move_nu='33', move='(0, 5, 3)', instance='Jam-17') 3
Rec(t='1490038536.69', event='commit_move', piece='o', move_nu='34', move='(3, 3, 3)', instance='Jam-17') 2
Rec(t='1490038537.37', event='win', piece='r', move_nu='35', move='(4, 2, 2)', instance='Jam-17') 2
Rec(t='1490037349.57', event='start', piece='None', move_nu='0', move='None', instance='Jam-10') 20
Rec(t='1490037366.77', event='commit_move', piece='M', move_nu='0', move='(3, 0, 2)', instance='Jam-10') 19
Rec(t='1490037367.82', event='commit_move', piece='y', move_nu='1', move='(5, 0, 3)', instance='Jam-10') 18
Rec(t='1490037369.04', event='commit_move', piece='w', move_nu='2', move='(3, 3, 3)', instance='Jam-10') 17
Rec(t='1490037370.04', event='commit_move', piece='r', move_nu='3', move='(3, 2, 2)', instance='Jam-10') 16
Rec(t='1490037372.56', event='commit_move', piece='c', move_nu='4', move='(2, 4, 2)', instance='Jam-10') 15
Rec(t='1490037375.05', event='commit_move', piece='b', move_nu='5', move='(1, 0, 2)', instance='Jam-10') 14
Rec(t='1490037376.03', event='commit_move', piece='B', move_nu='6', move='(1, 1, 2)', instance='Jam-10') 12
Rec(t='1490037377.61', event='commit_move', piece='o', move_nu='7', move='(0, 0, 3)', instance='Jam-10') 11
Rec(t='1490037390.85', event='commit_move', piece='w', move_nu='8', move='(0, 3, 3)', instance='Jam-10') 10
Rec(t='1490037392.4', event='commit_move', piece='r', move_nu='9', move='(1, 2, 2)', instance='Jam-10') 9
Rec(t='1490037394.0', event='commit_move', piece='g', move_nu='10', move='(3, 1, 2)', instance='Jam-10') 8
Rec(t='1490037396.81', event='commit_move', piece='w', move_nu='11', move='(3, 3, 3)', instance='Jam-10') 9
Rec(t='1490037397.79', event='commit_move', piece='c', move_nu='12', move='(2, 3, 2)', instance='Jam-10') 10
Rec(t='1490037399.19', event='commit_move', piece='p', move_nu='13', move='(2, 5, 2)', instance='Jam-10') 10
Rec(t='1490037419.47', event='commit_move', piece='l', move_nu='14', move='(3, 4, 2)', instance='Jam-10') 9
Rec(t='1490037421.45', event='start', piece='None', move_nu='0', move='None', instance='Jam-10') 20
Rec(t='1490037469.76', event='commit_move', piece='r', move_nu='0', move='(3, 2, 2)', instance='Jam-10') 19
Rec(t='1490037473.73', event='commit_move', piece='M', move_nu='1', move='(3, 0, 2)', instance='Jam-10') 18
Rec(t='1490037474.59', event='commit_move', piece='y', move_nu='2', move='(5, 0, 3)', instance='Jam-10') 17
Rec(t='1490037476.13', event='commit_move', piece='w', move_nu='3', move='(3, 3, 3)', instance='Jam-10') 16
Rec(t='1490037482.23', event='commit_move', piece='c', move_nu='4', move='(2, 2, 2)', instance='Jam-10') 16
Rec(t='1490037483.31', event='commit_move', piece='b', move_nu='5', move='(1, 0, 2)', instance='Jam-10') 15
Rec(t='1490037484.2', event='commit_move', piece='B', move_nu='6', move='(1, 1, 2)', instance='Jam-10') 13
Rec(t='1490037486.35', event='commit_move', piece='o', move_nu='7', move='(0, 0, 3)', instance='Jam-10') 12
Rec(t='1490037497.02', event='commit_move', piece='c', move_nu='8', move='(2, 4, 2)', instance='Jam-10') 12
Rec(t='1490037498.81', event='commit_move', piece='w', move_nu='9', move='(0, 3, 3)', instance='Jam-10') 10
Rec(t='1490037500.79', event='commit_move', piece='r', move_nu='10', move='(1, 2, 2)', instance='Jam-10') 9
Rec(t='1490037502.62', event='commit_move', piece='g', move_nu='11', move='(3, 1, 2)', instance='Jam-10') 8
Rec(t='1490037510.05', event='commit_move', piece='g', move_nu='12', move='(3, 3, 2)', instance='Jam-10') 9
Rec(t='1490037511.11', event='commit_move', piece='r', move_nu='13', move='(3, 2, 2)', instance='Jam-10') 10
Rec(t='1490037515.08', event='commit_move', piece='r', move_nu='14', move='(1, 2, 2)', instance='Jam-10') 9
Rec(t='1490037516.1', event='commit_move', piece='g', move_nu='15', move='(3, 1, 2)', instance='Jam-10') 8
Rec(t='1490037522.8', event='commit_move', piece='w', move_nu='16', move='(3, 3, 3)', instance='Jam-10') 9
